Track URI;Track;Artist;Release year
spotify:track:2PwlT72CyKMN2WzgCS4yUR;Y Sin Embargo - En Directo;Joaquín Sabina;2000
spotify:track:1tOm6gSUcfZihFZCRPeWB5;Color Esperanza;Diego Torres;2001
spotify:track:4BtggpHp17Ak3RP0LITrue;Partiendo la Pana;Estopa;2001
spotify:track:4M9LB0kuKlZvk2yL26EGve;Esa Chica Es Mía;Sergio Dalma;1991
spotify:track:6VVBXRsXAuN5UvqKNw7j0l;Cacho a Cacho;Estopa;1999
spotify:track:6TTudSWfeluwJ0KTPaRd5g;Atrévete-Te-Te;Calle 13;2005
spotify:track:3uU6dqBjVKRTPis0RrTaT4;Las de la Intuición;Shakira;2005
spotify:track:3t7xKj2YWeiFm92ApJ2FAt;La Suerte de Mi Vida;El Canto Del Loco;2008
spotify:track:3YR2oJx3iA5ThPlepS4LzY;Me Dediqué a Perderte;Alejandro Fernández;2004
spotify:track:2WoqgtWEBbbBKMDN6Becs7;Corazon Espinado (feat. Mana);Santana;1999
spotify:track:3h8KGJn9UFX2cfjN78iMVF;Y Cómo Es El;Marc Anthony;2010
spotify:track:05A6IM6n3liq04Ql03qfmz;Livin' la Vida Loca - Spanish Version;Ricky Martin;2018
spotify:track:0XyMfNTiNv2w73L7USXzv3;Vente Pa' Ca (feat. Wendy);Ricky Martin;2016
spotify:track:7CnDrJ3mlKBEcAUVAlzUQE;DUELE EL CORAZON (feat. Arcángel & Javada) - Remix;Enrique Iglesias;2016
spotify:track:5l390fUPNwGSi6ECobpc20;Algo Contigo;Gente De Zona;2016
spotify:track:7Fl3wSxRqBljyQH8dJSz9c;Traidora (feat. Marc Anthony);Gente De Zona;2015
spotify:track:3pI6VigoXHkcL3VYLJfBhq;Vente Pa' Ca (feat. Maluma) - Urban Remix;Ricky Martin;2016
spotify:track:0Gw9QC3RqHmTdGqHIWLHb6;La Isla del Amor (feat. Maki);Demarco Flamenco;2017
spotify:track:3QHMxEOAGD51PDlbFPHLyJ;Vivir Mi Vida;Marc Anthony;2013
spotify:track:2vvdTrdryjsl8DmPIMDWZU;EL BAÑO;Enrique Iglesias;2008
spotify:track:3UI9I3e1g1y5T3SMfdgfGO;Colgando en tus manos (con Marta Sánchez);Carlos Baute;2017
spotify:track:6habFhsOp2NvshLv26DqMb;Despacito;Luis Fonsi;2017
spotify:track:0OMRAvrtLWE2TvcXorRiB9;La Gozadera (feat. Marc Anthony);Gente De Zona;2015
spotify:track:129lYDVKnWtlJc2PZJviuA;A Dios Le Pido;Juanes;2002
spotify:track:7qCAVkHWZkF44OzOUKf8Cr;El Perdón (with Enrique Iglesias);Nicky Jam;2015
spotify:track:6DwD0v5OaaYFjQ7EeOOLKW;El Perdedor;Enrique Iglesias;2014
spotify:track:2gn1qBdbf5OoMTwYbVKC77;Si No Te Hubieras Ido;Marco Antonio Solís;1999
spotify:track:0thTVPvkfFVAUYp9tQ0GAX;Si Te Pudiera Mentir;Marco Antonio Solís;1999
spotify:track:4GBYzI0HixQ2z6gPGtNGin;O Me Voy O Te Vas;Marco Antonio Solís;2001
spotify:track:2OmOhZj2fxGgBpTsVc18x4;¿A Dónde Vamos A Parar?;Marco Antonio Solís;2010
spotify:track:5fLCM7IRYHKnxZslen6btz;Loco;Enrique Iglesias;2013
spotify:track:1uo7VyAScB7RjscEyA7yc7;Ayer;Enrique Iglesias;2010
spotify:track:75EveQXAVJzwuEO9gjfyGZ;Bailando - Spanish Version;Enrique Iglesias;2014
spotify:track:5RJuWtHaZqnHRCVzk1z1uS;Inventame;Marco Antonio Solís;1999
spotify:track:1iC6iDolyChCB8wTBujAff;Quizás;Enrique Iglesias;2002
spotify:track:4NUt1fcnO9aQAELBgXq3Kr;Me Dediqué a Perderte;Alejandro Fernández;2004
spotify:track:3h8KGJn9UFX2cfjN78iMVF;Y Cómo Es El;Marc Anthony;2010
spotify:track:2pOkvQHdkBmIicUQNKMH8A;Mentiroso;Enrique Iglesias;2002
spotify:track:5BY0p2EH4EznNZ0MFD9mjt;Me Enamora;Juanes;2007
spotify:track:1lcaG7worZLgdGuniOfGje;Fruta Fresca;Carlos Vives;1999
spotify:track:5czkBkWogUvTf2jleGyHaQ;Carito;Carlos Vives;2001
spotify:track:0wQCKR9OFjYu5Kzrk7WivJ;Corazón partío;Alejandro Sanz;1997
spotify:track:6Al0Kpd4VrRZ0Z4kTThNPa;Volví a Nacer;Carlos Vives;2012
spotify:track:2wlptOJ1g5fvLdu6ruKCKU;Madre Tierra (Oye);Chayanne;2014
spotify:track:0JC81ojQymAE7l1KuJpNCq;La Cartera;Carlos Vives;1999
spotify:track:3ljr9ATeLs2BY9gNp7vm62;Corazón En La Maleta;Luis Fonsi;2014
spotify:track:2ZqFfDwNjKvPu3USx3onhO;Volverte A Ver;Juanes;2004
spotify:track:1KbX1VuFIgsRa9JjnQtRYA;Bailar Contigo;Carlos Vives;2013
spotify:track:12H7K15h3aC5vRCaca65el;Tu Amor Me Hace Bien - Salsa Version;Marc Anthony;2004
spotify:track:0JcNysfWVWaMS7R6vzGB2k;Robarte un Beso;Carlos Vives;2017
spotify:track:609SDGj0txmlAXRrpwee9Y;Llegaste Tú;Luis Fonsi;2014
spotify:track:1O34fFJyV7djSqRtOuRSVh;Si Me Das Tu Amor;Carlos Vives;1999
spotify:track:2EM9zpAc7PVeoAydmbfVIL;La Camisa Negra;Juanes;2004
spotify:track:0fmgOwkb9AwgzXhYVSZRDs;Te regalo;Carlos Baute;2005
spotify:track:2s66rxdujHHVhNNnJfgL2D;Voy A Olvidarme De Mi;Carlos Vives;2004
spotify:track:3nUNwSYEUv9bmUc3de0Owv;Qué Me Has Hecho (feat. Wisin);Chayanne;2017
spotify:track:7nKBxz47S9SD79N086fuhn;SUBEME LA RADIO;Enrique Iglesias;2017
spotify:track:12HWO1YYMV9HEqQpava5zm;"Yo Contigo, Tú Conmigo - The Gong Gong Song / El Tema De La Película ""Gru 3 Mi Villano Favorito""";Morat;2017
spotify:track:4PHX6bpHDxiR9RGzAKWcyk;Cuando Me Enamoro;Enrique Iglesias;2010
spotify:track:6YZdkObH88npeKrrkb8Ggf;DUELE EL CORAZON (feat. Wisin);Enrique Iglesias;2016
spotify:track:4bd65mDKdhgKngKlF4Q1pZ;Ando buscando (feat. Piso 21);Carlos Baute;2017
spotify:track:5D5UwU5aFtcqxkqlCh1qKs;Te sigo pensando;Carlos Baute;2018
spotify:track:0bEA0mMgXheXnahvIbIQfg;Bailando - Spanish Version;Enrique Iglesias;2000
spotify:track:2IAtnd4UG52HQP9Rwart5h;La Bomba;Ricky Martin;1999
spotify:track:0QQHPRbgLJJ5XNzJV1l9BW;María;Ricky Martin;2013
spotify:track:709CndJJB3GTUhQD0LLFse;Torero;Chayanne;1999
spotify:track:4ti5pZ0zs1PDf1eQswskFB;She Bangs - Spanish Version;Ricky Martin;1997
spotify:track:1XYwlFvi9yPNruCanSJ3WP;When I Dream at Night;Marc Anthony;2000
spotify:track:0jMU9W1kcLyxXYloMHCt2i;La Copa Rota;Marc Anthony;2013
